timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694439380888,160,HTTP Request Delete project,200,OK,Thread Group - API requests 2-4,text,true,,234,435,13,13,http://localhost/jsonrpc.php,160,0,0
1694439380884,175,HTTP Request Delete project,200,OK,Thread Group - API requests 2-2,text,true,,234,435,12,12,http://localhost/jsonrpc.php,175,0,0
1694439380891,184,HTTP Request Delete project,200,OK,Thread Group - API requests 2-8,text,true,,234,435,11,11,http://localhost/jsonrpc.php,183,0,0
1694439380891,223,HTTP Request Delete project,200,OK,Thread Group - API requests 2-7,text,true,,234,435,11,11,http://localhost/jsonrpc.php,223,0,0
1694439380880,237,HTTP Request Delete project,200,OK,Thread Group - API requests 2-9,text,true,,234,435,10,10,http://localhost/jsonrpc.php,237,0,0
1694439380884,247,HTTP Request Delete project,200,OK,Thread Group - API requests 2-1,text,true,,234,435,9,9,http://localhost/jsonrpc.php,247,0,0
1694439380881,250,HTTP Request Delete project,200,OK,Thread Group - API requests 2-6,text,true,,234,435,9,9,http://localhost/jsonrpc.php,250,0,0
1694439380936,217,HTTP Request Delete project,200,OK,Thread Group - API requests 2-12,text,true,,234,435,7,7,http://localhost/jsonrpc.php,217,0,0
1694439380926,248,HTTP Request Delete project,200,OK,Thread Group - API requests 2-11,text,true,,234,435,7,7,http://localhost/jsonrpc.php,248,0,0
1694439380943,237,HTTP Request Delete project,200,OK,Thread Group - API requests 2-13,text,true,,234,435,6,6,http://localhost/jsonrpc.php,237,0,0
1694439380943,244,HTTP Request Delete project,200,OK,Thread Group - API requests 2-10,text,true,,234,435,5,5,http://localhost/jsonrpc.php,244,0,0
1694439380954,249,HTTP Request Create Project,200,OK,Thread Group - API requests 2-15,text,true,,235,458,4,4,http://localhost/jsonrpc.php,249,0,5
1694439381000,218,HTTP Request Delete project,200,OK,Thread Group - API requests 2-14,text,true,,234,435,4,4,http://localhost/jsonrpc.php,218,0,0
1694439381163,71,HTTP Request Create Project,200,OK,Thread Group - API requests 2-17,text,true,,235,458,3,3,http://localhost/jsonrpc.php,71,0,4
1694439381205,42,HTTP Request Delete project,200,OK,Thread Group - API requests 2-15,text,true,,234,435,3,3,http://localhost/jsonrpc.php,42,0,0
1694439381084,173,HTTP Request Create Project,200,OK,Thread Group - API requests 2-16,text,true,,235,458,2,2,http://localhost/jsonrpc.php,172,0,6
1694439381235,37,HTTP Request Delete project,200,OK,Thread Group - API requests 2-17,text,true,,234,435,2,2,http://localhost/jsonrpc.php,37,0,0
